id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10491207,Priv. Room in Bushwick near L Train,54081802,Urs,Brooklyn,Bushwick,40.69902,-73.9116,Private room,60,30,0,,,1,0
10504508,Amazing Views Luxury VIP Manhattan,23975540,Shawn,Manhattan,Hell's Kitchen,40.76251,-74.00019,Entire home/apt,650,30,0,,,1,365
10524082,Two blocks from Bedstuy-Nostrand G,54262760,Howard,Brooklyn,Bedford-Stuyvesant,40.68858,-73.95387,Private room,70,30,0,,,1,0
10526930,UES Studio with roof access,54280519,Russell,Manhattan,Upper East Side,40.76939,-73.94925,Entire home/apt,125,30,0,,,1,0
10538764,Bright 1BR in 2BR apt in Harlem,54345530,Kalyn,Manhattan,Harlem,40.80429,-73.95361,Private room,72,30,0,,,1,197
10542658,1 bed room apartment in Greenpoint,2470568,Jonathan,Brooklyn,Greenpoint,40.72222,-73.94058,Entire home/apt,75,30,0,,,1,0
10546729,Beautiful bright modern apartment,1520623,Bec,Brooklyn,Columbia St,40.68591,-74.00164,Entire home/apt,120,30,0,,,1,0
10548768,Newly Renovated 1 Bedroom in NYC,54401446,Tucker,Manhattan,Harlem,40.83056,-73.94749,Entire home/apt,125,30,0,,,1,0
10562085,Up to 1 Week Rental in Williamsburg,5769963,Anoush,Brooklyn,Williamsburg,40.7172,-73.95557,Entire home/apt,150,30,0,,,1,0
10568646,Spacious apt in hip Williamsburg,48170471,Johanna,Brooklyn,Williamsburg,40.72062,-73.96216,Entire home/apt,85,30,0,,,2,0
10587891,Chelsea Apartment (2 bedroom),32712155,Russell,Manhattan,Chelsea,40.7408,-74.00127,Entire home/apt,225,30,0,,,1,0
10589384,Beautiful Views & Apt in Brooklyn!,1558246,Modupe,Brooklyn,Fort Greene,40.68843,-73.97619,Private room,105,30,0,,,1,0
10592839,Light-filled Bushwick apartment,4745560,Michelle,Brooklyn,Bushwick,40.70158,-73.91851,Entire home/apt,130,30,0,,,1,0
10596856,Luxurious 1 King bedroom in NYC.,54675040,Christopher,Queens,Woodside,40.74851,-73.90332,Private room,57,30,0,,,1,0
10609963,"Sleek Loft, Premium Location",5179817,Damien,Manhattan,Flatiron District,40.73994,-73.98741,Entire home/apt,275,30,0,,,1,0
10628495,Palatial Prime Crown Heights Apt,5812675,Danny,Brooklyn,Crown Heights,40.66894,-73.95885,Entire home/apt,89,5,0,,,1,0
10631201,Luxury apartment 3BDR with balcony,37806185,David,Manhattan,Kips Bay,40.74295,-73.97332,Shared room,200,30,0,,,1,0
10648971,Large Modern 1 BR on UpperWestSide,10489069,Alexandr,Manhattan,Upper West Side,40.80094,-73.96092,Entire home/apt,132,30,0,,,1,0
10656360,This is a place in the UES,55036405,Shoaib,Manhattan,Upper East Side,40.77524,-73.94682,Shared room,199,30,0,,,1,0
10658564,Cozy 1 Bedroom on Upper east side,21229563,Ankita,Manhattan,Upper East Side,40.78231,-73.94571,Entire home/apt,100,30,0,,,1,0
10675218,New York style loft space,7556789,Samuel,Manhattan,East Harlem,40.80385,-73.93775,Private room,63,30,0,,,1,0
10676786,dreamy Sunset Park one bedroom,12672672,Rebecca,Brooklyn,Sunset Park,40.64179,-74.01147,Entire home/apt,75,30,0,,,1,0
10679740,Spacious Cute room in Williamsburg,55165952,Liz,Brooklyn,Williamsburg,40.71456,-73.94209,Private room,60,30,0,,,1,0
10680745,Private huge BDR in East Village!,29882817,Nick,Manhattan,East Village,40.72677,-73.97937,Private room,70,30,0,,,1,0
10681986,Fully furnished room in 2BR NYC Apt,55179950,Emilio,Manhattan,Washington Heights,40.83834,-73.93725,Private room,100,30,0,,,1,0
10684843,Manhattan ì›¨ìŠ¤íŠ¸ë¹Œë¦¬ì§€ì— ìœ„ì¹˜í•œ ê³ ê¸‰ ìŠ¤íŠœë””ì˜¤ (ë„ì–´ë§¨),55197031,ë‹¨ë¹„,Manhattan,West Village,40.73242,-74.00411,Entire home/apt,150,30,0,,,1,0
10686287,Brick Wall Charmer in Kips Bay,36998357,Lev,Manhattan,Kips Bay,40.7388,-73.98024,Entire home/apt,120,30,0,,,1,0
10686809,Feel at home in Brooklyn,15927582,Hena,Brooklyn,Park Slope,40.67534,-73.98239,Entire home/apt,95,30,0,,,1,0
10695252,"Master Room in 2,300sf Soho Loft",488202,Emlyn,Manhattan,SoHo,40.72072,-73.99972,Private room,150,30,0,,,1,0
10731618,Gramercy Apartment,29880001,Saket,Manhattan,Flatiron District,40.74142,-73.98577,Private room,85,30,0,,,1,0
10752737,HUGE Bedroom in Lower East Side,20358661,Ryan,Manhattan,Lower East Side,40.71935,-73.98324,Private room,90,30,0,,,1,0
10755419,"Hip, renovated 1-bedroom",55617221,Chad,Manhattan,Civic Center,40.71415,-74.00023,Entire home/apt,100,30,0,,,1,0
10770836,Upper West Side Studio,55709707,Ethan,Manhattan,Upper West Side,40.7902,-73.97468,Entire home/apt,82,30,0,,,1,0
10772141,Luxury Building 5 Mins- Times Sq,55718379,Aaash,Manhattan,Hell's Kitchen,40.76407,-73.98868,Entire home/apt,169,30,0,,,2,0
10786240,nice apartment in New york city,55808233,John,Manhattan,Hell's Kitchen,40.75979,-73.99216,Private room,75,30,0,,,1,0
10788568,Houston St. 1 BDRM East Village/LES,55823684,Timothy,Manhattan,Lower East Side,40.72245,-73.98949,Entire home/apt,149,30,0,,,1,0
10789121,Big private room in crown heights,329931,Patricia,Brooklyn,Crown Heights,40.67382,-73.95584,Private room,33,30,0,,,1,0
10792883,"Cozy , peaceful place to relax",55853534,Megan,Brooklyn,Bedford-Stuyvesant,40.68528,-73.93937,Private room,64,30,0,,,1,0
10798553,Gorgeous Greenpoint:  Sublet April 10th - 27th,798949,Rachel,Brooklyn,Greenpoint,40.72538,-73.95166,Entire home/apt,99,30,0,,,1,0
10805767,East Village 2bdr/1bath,11522679,Andie,Manhattan,East Village,40.73021,-73.98539,Entire home/apt,325,30,0,,,1,0
10810807,Bright w/ stunning Manhattan views,5397742,Natalie,Brooklyn,Brooklyn Heights,40.70018,-73.99236,Entire home/apt,250,30,0,,,1,0
10811548,Historic Greenwich Village apt.,19408191,Julien,Manhattan,Greenwich Village,40.73044,-73.99927,Entire home/apt,149,30,0,,,1,0
10812136,well lit East Williamsburg apt.,4827009,Liat,Brooklyn,Williamsburg,40.70508,-73.94409,Private room,60,30,0,,,1,0
