id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,NA
10017170,Murray Hill 2 Bedroom Suite,50760546,CRNY Monthly Rentals,Manhattan,Murray Hill,40.74709,-73.97816,Entire home/apt,134,30,4,0.07,28,153,
10017458,Murray Hill brownstone 2 Bedroom,50760546,CRNY Monthly Rentals,Manhattan,Murray Hill,40.74552,-73.97637,Entire home/apt,150,30,4,0.07,28,63,
10017561,2 Bedroom in Murray Hill Brownstone,50760546,CRNY Monthly Rentals,Manhattan,Murray Hill,40.74656,-73.9762,Entire home/apt,150,30,4,0.06,28,32,
10017920,Cozy East Village Apartment,13507716,Eugene,Manhattan,East Village,40.72325,-73.98358,Entire home/apt,55,30,0,0.7487066474,1,0,
10018550,Open Room in Luxury Apartment,27952234,Brett,Manhattan,Financial District,40.70436,-74.00985,Private room,100,30,0,0.7487066474,1,0,
10019312,East side - Lower Manhattan - East side,44216429,Maria,Manhattan,Gramercy,40.73809,-73.98509,Private room,93,4,150,2.14,2,312,
10020060,Charming West Village Apartment,51450214,Danny,Manhattan,West Village,40.73004,-74.00381,Entire home/apt,148,30,0,0.7487066474,1,0,
10020815,Large and light Brooklyn apartment,564585,Mark,Brooklyn,Clinton Hill,40.68731,-73.96446,Entire home/apt,125,30,0,0.7487066474,1,0,
10021499,Comfy Private Room in Williamsburg,48446355,Alexandra,Brooklyn,Williamsburg,40.71045,-73.9517,Private room,61,30,1,0.01,1,0,
10021643,Spacious Room -- Upper West Side,44118283,Guillaume,Manhattan,Upper West Side,40.79585,-73.9764,Private room,100,30,1,0.01,1,0,
10021707,Private Room in Bushwick,11275734,Josh,Brooklyn,Bushwick,40.69977,-73.93388,Private room,40,30,1,0.01,1,0,
10022144,Modern & Upgraded in Midtown,10770088,Tim,Manhattan,Midtown,40.75385,-73.97213,Entire home/apt,101,2,1,0.01,1,0,
10022956,Huge room in 4 BR on Riverside,50539477,Brian,Manhattan,Harlem,40.82248,-73.95591,Private room,50,30,85,1.63,3,126,
10022997,"A clean, spacious studio apartment",4628519,Hana,Manhattan,Upper West Side,40.79064,-73.97288,Entire home/apt,160,30,0,0.7487066474,1,0,
10023629,"Chic and Spacious 1BD, minutes from Times Sq!",13056751,Eleni,Manhattan,Hell's Kitchen,40.76442,-73.99025,Private room,94,1,64,1.13,1,159,
10030753,NYC Lower East Side - New Years,51496578,Aline,Manhattan,Lower East Side,40.71523,-73.98084,Entire home/apt,250,30,0,0.7487066474,1,0,
10031336,GREAT location LARGE 1BR $129 night,21801127,Carlos,Manhattan,Upper East Side,40.77595,-73.94783,Entire home/apt,129,30,0,0.7487066474,1,0,
